,GEO,aggregated_applications_12-16,aggregated_alldecisions_12-16,difference_applications_decisions,aggregated_positive_decisions_12-16,aggregated_negative_decisions_12-16,agg_aver_population_12-16,share_neg_total,share_pos_total
0,Belgium,98015.0,111020.0,-13005.0,45415.0,65600.0,11197144.6,59.08845253107549,40.907043775896234
1,Bulgaria,58170.0,20105.0,38065.0,16575.0,3535.0,7242687.0,17.582690872917183,82.44217856254663
2,Czech Republic,4375.0,5305.0,-930.0,1790.0,3515.0,10525221.4,66.25824693685203,33.741753063147975
3,Denmark,54795.0,42480.0,12315.0,27035.0,15445.0,5635469.0,36.35828625235405,63.64171374764596
4,Germany (until 1990 former territory of the FRG),1511455.0,1113070.0,398385.0,652650.0,460425.0,80998466.0,41.36532293566442,58.63512627238179
5,Estonia,690.0,535.0,155.0,250.0,285.0,1318404.8,53.271028037383175,46.728971962616825
6,Ireland,8825.0,5970.0,2855.0,1465.0,4505.0,4626592.8,75.4606365159129,24.5393634840871
7,Greece,86270.0,58680.0,27590.0,9310.0,49360.0,10931718.8,84.11724608043627,15.865712338104975
8,Spain,42285.0,22105.0,20180.0,10520.0,11575.0,46590740.2,52.363718615697806,47.59104275050893
9,France,320960.0,355440.0,-34480.0,83550.0,271890.0,66013512.4,76.49392302498312,23.50607697501688
10,Croatia,,1035.0,,210.0,830.0,4240183.6,80.19323671497585,20.28985507246377
11,Italy,310990.0,247255.0,63735.0,122020.0,125235.0,60264653.0,50.65013852096014,49.34986147903986
12,Cyprus,9165.0,7480.0,1685.0,4150.0,3330.0,856243.2,44.518716577540104,55.481283422459896
13,Latvia,1415.0,765.0,650.0,230.0,525.0,2005031.8,68.62745098039215,30.065359477124183
14,Lithuania,1885.0,1210.0,675.0,460.0,745.0,2945767.6,61.57024793388429,38.01652892561984
15,Luxembourg,8445.0,5815.0,2630.0,1240.0,4570.0,550155.8,78.58985382631126,21.324161650902838
16,Hungary,264592.0,19615.0,244977.0,2155.0,17460.0,9880828.8,89.01351006882487,10.986489931175122
17,Malta,8970.0,8155.0,815.0,6740.0,1415.0,425608.2,17.351318209687307,82.6486817903127
18,Netherlands,103635.0,94035.0,9600.0,61285.0,32750.0,16843811.6,34.827457861434574,65.17254213856543
19,Austria,186041.0,105465.0,80576.0,61970.0,43495.0,8526641.4,41.24117005641682,58.75882994358318
20,Poland,48800.0,14080.0,34720.0,2870.0,11205.0,38023401.2,79.5809659090909,20.383522727272727
21,Portugal,2820.0,1730.0,1090.0,860.0,870.0,10434628.0,50.28901734104046,49.71098265895954
22,Romania,8405.0,7260.0,1145.0,3170.0,4085.0,19938868.4,56.26721763085399,43.66391184573003
23,Slovenia,2380.0,905.0,1475.0,330.0,575.0,2060492.8,63.53591160220995,36.46408839779006
24,Slovakia,1440.0,1290.0,150.0,720.0,585.0,5415741.6,45.348837209302324,55.81395348837209
25,Finland,46855.0,32400.0,14455.0,13225.0,19185.0,5447654.4,59.21296296296297,40.8179012345679
26,Sweden,351950.0,257005.0,94945.0,165630.0,91380.0,9656396.8,35.55572848777261,64.44621699966928
27,United Kingdom,168550.0,139905.0,28645.0,50415.0,89490.0,64401895.2,63.96483327972553,36.03516672027447
28,Iceland,,1020.0,,195.0,825.0,325746.4,80.88235294117648,19.11764705882353
29,Liechtenstein,,240.0,,50.0,180.0,37086.0,75.0,20.833333333333336
30,Norway,65535.0,59065.0,6470.0,34890.0,24175.0,5104465.8,40.92948446626598,59.070515533734024
31,Switzerland,131530.0,99795.0,31735.0,53270.0,46530.0,8139629.0,46.62558244401022,53.37942782704545
