TIME,"GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
2008,"European Union (28 countries)","Extra-EU-28","Total","Total","Asylum applicant","Person","225,150","d"
2008,"European Union (28 countries)","Extra-EU-28","Total","Total","First time applicant","Person","152,890","d"
2008,"European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","226,330","d"
2008,"European Union (28 countries)","Total","Total","Total","First time applicant","Person","153,385","d"
2008,"Belgium","Extra-EU-28","Total","Total","Asylum applicant","Person","15,165",""
2008,"Belgium","Extra-EU-28","Total","Total","First time applicant","Person","11,095",""
2008,"Belgium","Total","Total","Total","Asylum applicant","Person","15,940",""
2008,"Belgium","Total","Total","Total","First time applicant","Person","11,395",""
2008,"Bulgaria","Extra-EU-28","Total","Total","Asylum applicant","Person","745",""
2008,"Bulgaria","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Bulgaria","Total","Total","Total","Asylum applicant","Person","745",""
2008,"Bulgaria","Total","Total","Total","First time applicant","Person",":",""
2008,"Czech Republic","Extra-EU-28","Total","Total","Asylum applicant","Person","1,645",""
2008,"Czech Republic","Extra-EU-28","Total","Total","First time applicant","Person","1,050",""
2008,"Czech Republic","Total","Total","Total","Asylum applicant","Person","1,650",""
2008,"Czech Republic","Total","Total","Total","First time applicant","Person","1,050",""
2008,"Denmark","Extra-EU-28","Total","Total","Asylum applicant","Person","2,350",""
2008,"Denmark","Extra-EU-28","Total","Total","First time applicant","Person","2,350",""
2008,"Denmark","Total","Total","Total","Asylum applicant","Person","2,375",""
2008,"Denmark","Total","Total","Total","First time applicant","Person","2,375",""
2008,"Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Asylum applicant","Person","26,845",""
2008,"Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","First time applicant","Person","21,325",""
2008,"Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","26,945",""
2008,"Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","21,365",""
2008,"Estonia","Extra-EU-28","Total","Total","Asylum applicant","Person","15",""
2008,"Estonia","Extra-EU-28","Total","Total","First time applicant","Person","15",""
2008,"Estonia","Total","Total","Total","Asylum applicant","Person","15",""
2008,"Estonia","Total","Total","Total","First time applicant","Person","15",""
2008,"Ireland","Extra-EU-28","Total","Total","Asylum applicant","Person","3,855",""
2008,"Ireland","Extra-EU-28","Total","Total","First time applicant","Person","3,795",""
2008,"Ireland","Total","Total","Total","Asylum applicant","Person","3,865",""
2008,"Ireland","Total","Total","Total","First time applicant","Person","3,805",""
2008,"Greece","Extra-EU-28","Total","Total","Asylum applicant","Person","19,885",""
2008,"Greece","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Greece","Total","Total","Total","Asylum applicant","Person","19,885",""
2008,"Greece","Total","Total","Total","First time applicant","Person",":",""
2008,"Spain","Extra-EU-28","Total","Total","Asylum applicant","Person","4,515",""
2008,"Spain","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Spain","Total","Total","Total","Asylum applicant","Person","4,515",""
2008,"Spain","Total","Total","Total","First time applicant","Person",":",""
2008,"France","Extra-EU-28","Total","Total","Asylum applicant","Person","41,840",""
2008,"France","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"France","Total","Total","Total","Asylum applicant","Person","41,845",""
2008,"France","Total","Total","Total","First time applicant","Person",":",""
2008,"Croatia","Extra-EU-28","Total","Total","Asylum applicant","Person",":",""
2008,"Croatia","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Croatia","Total","Total","Total","Asylum applicant","Person",":",""
2008,"Croatia","Total","Total","Total","First time applicant","Person",":",""
2008,"Italy","Extra-EU-28","Total","Total","Asylum applicant","Person","30,140",""
2008,"Italy","Extra-EU-28","Total","Total","First time applicant","Person","30,140",""
2008,"Italy","Total","Total","Total","Asylum applicant","Person","30,145",""
