"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Extra-EU-28","Total","Total","Total","Person","213,925",""
"2008","European Union (28 countries)","Extra-EU-28","Total","Total","Total positive decisions","Person","57,945",""
"2008","European Union (28 countries)","Extra-EU-28","Total","Total","Rejected","Person","155,980",""
"2008","European Union (28 countries)","Total","Total","Total","Total","Person","214,990",""
"2008","European Union (28 countries)","Total","Total","Total","Total positive decisions","Person","57,960",""
"2008","European Union (28 countries)","Total","Total","Total","Rejected","Person","157,025",""
"2008","Belgium","Extra-EU-28","Total","Total","Total","Person","12,950",""
"2008","Belgium","Extra-EU-28","Total","Total","Total positive decisions","Person","3,505",""
"2008","Belgium","Extra-EU-28","Total","Total","Rejected","Person","9,445",""
"2008","Belgium","Total","Total","Total","Total","Person","13,620",""
"2008","Belgium","Total","Total","Total","Total positive decisions","Person","3,505",""
"2008","Belgium","Total","Total","Total","Rejected","Person","10,115",""
"2008","Bulgaria","Extra-EU-28","Total","Total","Total","Person","670",""
"2008","Bulgaria","Extra-EU-28","Total","Total","Total positive decisions","Person","295",""
"2008","Bulgaria","Extra-EU-28","Total","Total","Rejected","Person","375",""
"2008","Bulgaria","Total","Total","Total","Total","Person","670",""
"2008","Bulgaria","Total","Total","Total","Total positive decisions","Person","295",""
"2008","Bulgaria","Total","Total","Total","Rejected","Person","375",""
"2008","Czech Republic","Extra-EU-28","Total","Total","Total","Person","1,395",""
"2008","Czech Republic","Extra-EU-28","Total","Total","Total positive decisions","Person","215",""
"2008","Czech Republic","Extra-EU-28","Total","Total","Rejected","Person","1,180",""
"2008","Czech Republic","Total","Total","Total","Total","Person","1,400",""
"2008","Czech Republic","Total","Total","Total","Total positive decisions","Person","215",""
"2008","Czech Republic","Total","Total","Total","Rejected","Person","1,180",""
"2008","Denmark","Extra-EU-28","Total","Total","Total","Person","1,240",""
"2008","Denmark","Extra-EU-28","Total","Total","Total positive decisions","Person","730",""
"2008","Denmark","Extra-EU-28","Total","Total","Rejected","Person","510",""
"2008","Denmark","Total","Total","Total","Total","Person","1,250",""
"2008","Denmark","Total","Total","Total","Total positive decisions","Person","730",""
"2008","Denmark","Total","Total","Total","Rejected","Person","520",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Total","Person","19,245",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Total positive decisions","Person","7,870",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Rejected","Person","11,375",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","Person","19,335",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","7,870",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","11,465",""
"2008","Estonia","Extra-EU-28","Total","Total","Total","Person","10",""
"2008","Estonia","Extra-EU-28","Total","Total","Total positive decisions","Person","5",""
"2008","Estonia","Extra-EU-28","Total","Total","Rejected","Person","10",""
"2008","Estonia","Total","Total","Total","Total","Person","10",""
"2008","Estonia","Total","Total","Total","Total positive decisions","Person","5",""
"2008","Estonia","Total","Total","Total","Rejected","Person","10",""
"2008","Ireland","Extra-EU-28","Total","Total","Total","Person","3,615",""
"2008","Ireland","Extra-EU-28","Total","Total","Total positive decisions","Person","300",""
